,Ссылка,Подразделение,РИНЦ Author ID,SPIN,Scopus Author ID,Researher ID,ORCID ID,Профиль автора в РИНЦ,Профиль автора в Scopus,Профиль автора в Publons,Профиль автора в ORCID,Профиль автора в ResearchGate,Профиль автора в Google Scholar
151,/ru/glossary/d/dolzhikov_vadim_vladimirovich,каф взрывного дела,904230,6146-0877,57196257917,Empty,0000-0001-8851-2913,http://elibrary.ru/author_items.asp?authorid=904230,https://www.scopus.com/authid/detail.uri?authorId=57196257917&amp%3Beid=2-s2.0-85032438863,Empty,https://orcid.org/0000-0001-8851-2913,https://www.researchgate.net/signup.SignUp.html,https://scholar.google.ru/citations?hl=ru&view_op=list_works&gmla=AJsN-F4eqfbHaDhDo4UOUZibL3Y4qqzUbb8aw8VCmX3mn_tnBKiB0GV6bKKopB3Q7xDGXIbIv9sr51NGD6QhBM6FATuW0K6_2_mWkBpIvA1c2hCEwoVEGNRhg0pckZEzF4_2CbSKfeHW&user=YNDiKCYAAAAJ
152,/ru/glossary/d/dorofeev_daniil_yurevich,каф философии,76344,1692-0470,56641439900,P-2990-2019,0000-0003-1583-4545,http://elibrary.ru/author_items.asp?authorid=76344,https://www.scopus.com/authid/detail.uri?authorId=56641439900,https://publons.com/researcher/P-2990-2019/daniil-dorofeev/,https://orcid.org/0000-0003-1583-4545,https://www.researchgate.net/profile/Daniil_Dorofeev,https://scholar.google.ru/citations?user=-wMtk-0AAAAJ&hl=ru
153,/ru/glossary/d/dorofeev_vladimir_alekseevich,каф физического воспитания,924187,Empty,56051925900,3152034,0000-0003-3470-9563,https://elibrary.ru/author_items.asp?authorid=924187,https://www.scopus.com/authid/detail.uri?authorId=56051925900,https://publons.com/researcher/3152034/vladimir-dorofeev/,https://orcid.org/0000-0003-3470-9563,https://www.researchgate.net/profile/Vladimir_Dorofeev3,https://scholar.google.ru/citations?view_op=list_works&hl=ru&user=kes3qyMAAAAJ&gmla=AJsN-F6MYibFqNGgc3qGMj3mzMP_YekEvtWFF9kUwEkpIkYG2lILcDzW-0-6PfmYzI9XE9Tzv3mbX97Jt5BiVUifiHi3_VYqpHZPp5L_0YxiFO3scIfXy9YyQdMfZylkCUFkH1kUV6U1iBjvR7uc9-McNFuxlHZqrA
154,/ru/glossary/d/dubovikov_oleg_aleksandrovich,каф химических технологий и переработки энергоносителей,906781,4288-4031,6504609711,B-8152-2019,0000-0002-3445-1075,http://elibrary.ru/author_items.asp?authorid=906781,https://www.scopus.com/authid/detail.uri?authorId=6504609711,https://publons.com/researcher/B-8152-2019/,https://orcid.org/0000-0002-3445-1075,https://www.researchgate.net/profile/Oleg_Dubovikov,https://scholar.google.ru/citations?hl=ru&user=8owYZacAAAAJ&view_op=list_works&gmla=AJsN-F4WL-ZIR4kDzezO4TeAz7wR-fcTiUOT0YcVB6LJjsdrG2QezFTUjdXQoRIiXBiP_bwQVvx2OEiCCJ4qlwVrWEf4YyT1FwsBckPO9vuKA4r4VHz6iFZ6u0ZaMPq6C8ece6nOE0rR
155,/ru/glossary/d/duryagina_asiya_minyakupovna,каф исторической и динамической геологии,739547,4844-3239,57189305345,S-2699-2018,0000-0002-9417-7549,http://elibrary.ru/author_items.asp?authorid=739547,https://www.scopus.com/authid/detail.uri?origin=AuthorProfile&authorId=57189305345&zone=,http://www.researcherid.com/rid/S-2699-2018,https://orcid.org/0000-0002-9417-7549,https://www.researchgate.net/profile/Asiya_Duryagina,https://scholar.google.ru/citations?user=hn_GU9YAAAAJ&hl=ru
156,/ru/glossary/d/duhnevich_leonid_nikolaevich,каф транспорта и хранения нефти и газа,961297,Empty,36015197000,Empty,Empty,https://elibrary.ru/author_profile.asp?authorid=961297,https://www.scopus.com/authid/detail.uri?authorId=36015197000&amp%3Beid=2-s2.0-77951944680,Empty,Empty,Empty,Empty
157,/ru/glossary/e/evdokimov_aleksandr_nikolaevich,каф геологии и разведки месторождений полезных ископаемых,166648,Empty,Empty,Empty,Empty,http://elibrary.ru/author_profile.asp?id=166648,Empty,Empty,Empty,Empty,Empty
158,/ru/glossary/e/egorenkova_natalya_andreevna,каф русского языка и литературы,317299,5715-2520,Empty,3302547,0000-0002-2863-0368,http://elibrary.ru/author_items.asp?authorid=317299,Empty,https://publons.com/researcher/3302547/natalya-egorenkova/,https://orcid.org/0000-0002-2863-0368,https://www.researchgate.net/profile/Natalya_Egorenkova,https://scholar.google.ru/citations?view_op=list_works&hl=ru&user=YTBQW_IAAAAJ
159,/ru/glossary/e/egorov_sergey_viktorovich,каф транспортно-технологических процессов и машин,238167,7525-5249,57194550267,Empty,Empty,http://elibrary.ru/author_profile.asp?id=238167,https://www.scopus.com/authid/detail.uri?authorId=57194550267,Empty,Empty,Empty,Empty
160,/ru/glossary/e/egorov_aleksey_sergeevich,каф геофизических и геохимических методов поисков и разведки месторождений полезных ископаемых.,59724,Empty,7202362164,Empty,Empty,http://elibrary.ru/author_profile.asp?id=59724,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7202362164,Empty,Empty,Empty,Empty
